model_name	token_idx	token	token_category
meta-llama/Llama-2-7b-hf	37	"	P
meta-llama/Llama-2-7b-hf	38	#	P
meta-llama/Llama-2-7b-hf	39	$	S
meta-llama/Llama-2-7b-hf	40	%	P
meta-llama/Llama-2-7b-hf	41	&	P
meta-llama/Llama-2-7b-hf	42	'	P
meta-llama/Llama-2-7b-hf	43	(	P
meta-llama/Llama-2-7b-hf	44	)	P
meta-llama/Llama-2-7b-hf	45	*	P
meta-llama/Llama-2-7b-hf	46	+	S
meta-llama/Llama-2-7b-hf	47	,	P
meta-llama/Llama-2-7b-hf	48	-	P
meta-llama/Llama-2-7b-hf	49	.	P
meta-llama/Llama-2-7b-hf	50	/	P
meta-llama/Llama-2-7b-hf	51	0	N
meta-llama/Llama-2-7b-hf	52	1	N
meta-llama/Llama-2-7b-hf	53	2	N
meta-llama/Llama-2-7b-hf	54	3	N
meta-llama/Llama-2-7b-hf	55	4	N
meta-llama/Llama-2-7b-hf	56	5	N
meta-llama/Llama-2-7b-hf	57	6	N
meta-llama/Llama-2-7b-hf	58	7	N
meta-llama/Llama-2-7b-hf	59	8	N
meta-llama/Llama-2-7b-hf	60	9	N
meta-llama/Llama-2-7b-hf	61	:	P
meta-llama/Llama-2-7b-hf	62	;	P
meta-llama/Llama-2-7b-hf	63	<	S
meta-llama/Llama-2-7b-hf	64	=	S
meta-llama/Llama-2-7b-hf	65	>	S
meta-llama/Llama-2-7b-hf	66	?	P
meta-llama/Llama-2-7b-hf	67	@	P
meta-llama/Llama-2-7b-hf	68	A	LATIN
meta-llama/Llama-2-7b-hf	69	B	LATIN
meta-llama/Llama-2-7b-hf	70	C	LATIN
meta-llama/Llama-2-7b-hf	71	D	LATIN
meta-llama/Llama-2-7b-hf	72	E	LATIN
meta-llama/Llama-2-7b-hf	73	F	LATIN
meta-llama/Llama-2-7b-hf	74	G	LATIN
meta-llama/Llama-2-7b-hf	75	H	LATIN
meta-llama/Llama-2-7b-hf	76	I	LATIN
meta-llama/Llama-2-7b-hf	77	J	LATIN
meta-llama/Llama-2-7b-hf	78	K	LATIN
meta-llama/Llama-2-7b-hf	79	L	LATIN
meta-llama/Llama-2-7b-hf	80	M	LATIN
meta-llama/Llama-2-7b-hf	81	N	LATIN
meta-llama/Llama-2-7b-hf	82	O	LATIN
meta-llama/Llama-2-7b-hf	83	P	LATIN
meta-llama/Llama-2-7b-hf	84	Q	LATIN
meta-llama/Llama-2-7b-hf	85	R	LATIN
meta-llama/Llama-2-7b-hf	86	S	LATIN
meta-llama/Llama-2-7b-hf	87	T	LATIN
meta-llama/Llama-2-7b-hf	88	U	LATIN
meta-llama/Llama-2-7b-hf	89	V	LATIN
meta-llama/Llama-2-7b-hf	90	W	LATIN
meta-llama/Llama-2-7b-hf	91	X	LATIN
meta-llama/Llama-2-7b-hf	92	Y	LATIN
meta-llama/Llama-2-7b-hf	93	Z	LATIN
meta-llama/Llama-2-7b-hf	94	[	P
meta-llama/Llama-2-7b-hf	95	\	P
meta-llama/Llama-2-7b-hf	96	]	P
meta-llama/Llama-2-7b-hf	97	^	S
meta-llama/Llama-2-7b-hf	98	_	P
meta-llama/Llama-2-7b-hf	99	`	S
meta-llama/Llama-2-7b-hf	100	a	LATIN
meta-llama/Llama-2-7b-hf	101	b	LATIN
meta-llama/Llama-2-7b-hf	102	c	LATIN
meta-llama/Llama-2-7b-hf	103	d	LATIN
meta-llama/Llama-2-7b-hf	104	e	LATIN
meta-llama/Llama-2-7b-hf	105	f	LATIN
meta-llama/Llama-2-7b-hf	106	g	LATIN
meta-llama/Llama-2-7b-hf	107	h	LATIN
meta-llama/Llama-2-7b-hf	108	i	LATIN
meta-llama/Llama-2-7b-hf	109	j	LATIN
meta-llama/Llama-2-7b-hf	110	k	LATIN
meta-llama/Llama-2-7b-hf	111	l	LATIN
meta-llama/Llama-2-7b-hf	112	m	LATIN
meta-llama/Llama-2-7b-hf	113	n	LATIN
meta-llama/Llama-2-7b-hf	114	o	LATIN
meta-llama/Llama-2-7b-hf	115	p	LATIN
meta-llama/Llama-2-7b-hf	116	q	LATIN
meta-llama/Llama-2-7b-hf	117	r	LATIN
meta-llama/Llama-2-7b-hf	118	s	LATIN
meta-llama/Llama-2-7b-hf	119	t	LATIN
meta-llama/Llama-2-7b-hf	120	u	LATIN
meta-llama/Llama-2-7b-hf	121	v	LATIN
meta-llama/Llama-2-7b-hf	122	w	LATIN
meta-llama/Llama-2-7b-hf	123	x	LATIN
meta-llama/Llama-2-7b-hf	124	y	LATIN
meta-llama/Llama-2-7b-hf	125	z	LATIN
meta-llama/Llama-2-7b-hf	126	{	P
meta-llama/Llama-2-7b-hf	127	|	S
meta-llama/Llama-2-7b-hf	128	}	P
meta-llama/Llama-2-7b-hf	129	~	S
meta-llama/Llama-2-7b-hf	130		C
meta-llama/Llama-2-7b-hf	131	�	S
meta-llama/Llama-2-7b-hf	132	�	S
meta-llama/Llama-2-7b-hf	133	�	S
meta-llama/Llama-2-7b-hf	134	�	S
meta-llama/Llama-2-7b-hf	135	�	S
meta-llama/Llama-2-7b-hf	136	�	S
meta-llama/Llama-2-7b-hf	137	�	S
meta-llama/Llama-2-7b-hf	138	�	S
meta-llama/Llama-2-7b-hf	139	�	S
meta-llama/Llama-2-7b-hf	140	�	S
meta-llama/Llama-2-7b-hf	141	�	S
meta-llama/Llama-2-7b-hf	142	�	S
meta-llama/Llama-2-7b-hf	143	�	S
meta-llama/Llama-2-7b-hf	144	�	S
meta-llama/Llama-2-7b-hf	145	�	S
meta-llama/Llama-2-7b-hf	146	�	S
meta-llama/Llama-2-7b-hf	147	�	S
meta-llama/Llama-2-7b-hf	148	�	S
meta-llama/Llama-2-7b-hf	149	�	S
meta-llama/Llama-2-7b-hf	150	�	S
meta-llama/Llama-2-7b-hf	151	�	S
meta-llama/Llama-2-7b-hf	152	�	S
meta-llama/Llama-2-7b-hf	153	�	S
meta-llama/Llama-2-7b-hf	154	�	S
meta-llama/Llama-2-7b-hf	155	�	S
meta-llama/Llama-2-7b-hf	156	�	S
meta-llama/Llama-2-7b-hf	157	�	S
meta-llama/Llama-2-7b-hf	158	�	S
meta-llama/Llama-2-7b-hf	159	�	S
meta-llama/Llama-2-7b-hf	160	�	S
meta-llama/Llama-2-7b-hf	161	�	S
meta-llama/Llama-2-7b-hf	162	�	S
meta-llama/Llama-2-7b-hf	163	�	S
meta-llama/Llama-2-7b-hf	164	�	S
meta-llama/Llama-2-7b-hf	165	�	S
meta-llama/Llama-2-7b-hf	166	�	S
meta-llama/Llama-2-7b-hf	167	�	S
meta-llama/Llama-2-7b-hf	168	�	S
meta-llama/Llama-2-7b-hf	169	�	S
meta-llama/Llama-2-7b-hf	170	�	S
meta-llama/Llama-2-7b-hf	171	�	S
meta-llama/Llama-2-7b-hf	172	�	S
meta-llama/Llama-2-7b-hf	173	�	S
meta-llama/Llama-2-7b-hf	174	�	S
meta-llama/Llama-2-7b-hf	175	�	S
meta-llama/Llama-2-7b-hf	176	�	S
meta-llama/Llama-2-7b-hf	177	�	S
meta-llama/Llama-2-7b-hf	178	�	S
meta-llama/Llama-2-7b-hf	179	�	S
meta-llama/Llama-2-7b-hf	180	�	S
meta-llama/Llama-2-7b-hf	181	�	S
meta-llama/Llama-2-7b-hf	182	�	S
meta-llama/Llama-2-7b-hf	183	�	S
meta-llama/Llama-2-7b-hf	184	�	S
meta-llama/Llama-2-7b-hf	185	�	S
meta-llama/Llama-2-7b-hf	186	�	S
meta-llama/Llama-2-7b-hf	187	�	S
meta-llama/Llama-2-7b-hf	188	�	S
meta-llama/Llama-2-7b-hf	189	�	S
meta-llama/Llama-2-7b-hf	190	�	S
meta-llama/Llama-2-7b-hf	191	�	S
meta-llama/Llama-2-7b-hf	192	�	S
meta-llama/Llama-2-7b-hf	193	�	S
meta-llama/Llama-2-7b-hf	194	�	S
meta-llama/Llama-2-7b-hf	195	�	S
meta-llama/Llama-2-7b-hf	196	�	S
meta-llama/Llama-2-7b-hf	197	�	S
meta-llama/Llama-2-7b-hf	198	�	S
meta-llama/Llama-2-7b-hf	199	�	S
meta-llama/Llama-2-7b-hf	200	�	S
meta-llama/Llama-2-7b-hf	201	�	S
meta-llama/Llama-2-7b-hf	202	�	S
meta-llama/Llama-2-7b-hf	203	�	S
meta-llama/Llama-2-7b-hf	204	�	S
meta-llama/Llama-2-7b-hf	205	�	S
meta-llama/Llama-2-7b-hf	206	�	S
meta-llama/Llama-2-7b-hf	207	�	S
meta-llama/Llama-2-7b-hf	208	�	S
meta-llama/Llama-2-7b-hf	209	�	S
meta-llama/Llama-2-7b-hf	210	�	S
meta-llama/Llama-2-7b-hf	211	�	S
meta-llama/Llama-2-7b-hf	212	�	S
meta-llama/Llama-2-7b-hf	213	�	S
meta-llama/Llama-2-7b-hf	214	�	S
meta-llama/Llama-2-7b-hf	215	�	S
meta-llama/Llama-2-7b-hf	216	�	S
meta-llama/Llama-2-7b-hf	217	�	S
meta-llama/Llama-2-7b-hf	218	�	S
meta-llama/Llama-2-7b-hf	219	�	S
meta-llama/Llama-2-7b-hf	220	�	S
meta-llama/Llama-2-7b-hf	221	�	S
meta-llama/Llama-2-7b-hf	222	�	S
meta-llama/Llama-2-7b-hf	223	�	S
meta-llama/Llama-2-7b-hf	224	�	S
meta-llama/Llama-2-7b-hf	225	�	S
meta-llama/Llama-2-7b-hf	226	�	S
meta-llama/Llama-2-7b-hf	227	�	S
meta-llama/Llama-2-7b-hf	228	�	S
meta-llama/Llama-2-7b-hf	229	�	S
meta-llama/Llama-2-7b-hf	230	�	S
meta-llama/Llama-2-7b-hf	231	�	S
meta-llama/Llama-2-7b-hf	232	�	S
meta-llama/Llama-2-7b-hf	233	�	S
meta-llama/Llama-2-7b-hf	234	�	S
meta-llama/Llama-2-7b-hf	235	�	S
meta-llama/Llama-2-7b-hf	236	�	S
meta-llama/Llama-2-7b-hf	237	�	S
meta-llama/Llama-2-7b-hf	238	�	S
meta-llama/Llama-2-7b-hf	239	�	S
meta-llama/Llama-2-7b-hf	240	�	S
meta-llama/Llama-2-7b-hf	241	�	S
meta-llama/Llama-2-7b-hf	242	�	S
meta-llama/Llama-2-7b-hf	243	�	S
meta-llama/Llama-2-7b-hf	244	�	S
meta-llama/Llama-2-7b-hf	245	�	S
meta-llama/Llama-2-7b-hf	246	�	S
meta-llama/Llama-2-7b-hf	247	�	S
meta-llama/Llama-2-7b-hf	248	�	S
meta-llama/Llama-2-7b-hf	249	�	S
meta-llama/Llama-2-7b-hf	250	�	S
meta-llama/Llama-2-7b-hf	251	�	S
meta-llama/Llama-2-7b-hf	252	�	S
meta-llama/Llama-2-7b-hf	253	�	S
meta-llama/Llama-2-7b-hf	254	�	S
meta-llama/Llama-2-7b-hf	255	�	S
meta-llama/Llama-2-7b-hf	256	�	S
meta-llama/Llama-2-7b-hf	257	�	S
meta-llama/Llama-2-7b-hf	258	�	S
meta-llama/Llama-2-7b-hf	259	▁	Z
meta-llama/Llama-2-7b-hf	260	t	LATIN
meta-llama/Llama-2-7b-hf	261	er	LATIN
meta-llama/Llama-2-7b-hf	262	in	LATIN
meta-llama/Llama-2-7b-hf	263	a	LATIN
meta-llama/Llama-2-7b-hf	264	en	LATIN
meta-llama/Llama-2-7b-hf	265	on	LATIN
meta-llama/Llama-2-7b-hf	266	th	LATIN
meta-llama/Llama-2-7b-hf	267	es	LATIN
meta-llama/Llama-2-7b-hf	268	▁▁▁	Z
meta-llama/Llama-2-7b-hf	269	s	LATIN
meta-llama/Llama-2-7b-hf	270	d	LATIN
meta-llama/Llama-2-7b-hf	271	at	LATIN
meta-llama/Llama-2-7b-hf	272	or	LATIN
meta-llama/Llama-2-7b-hf	273	an	LATIN
meta-llama/Llama-2-7b-hf	274	c	LATIN
meta-llama/Llama-2-7b-hf	275	is	LATIN
meta-llama/Llama-2-7b-hf	276	re	LATIN
meta-llama/Llama-2-7b-hf	277	it	LATIN
meta-llama/Llama-2-7b-hf	278	the	LATIN
meta-llama/Llama-2-7b-hf	279	ar	LATIN
meta-llama/Llama-2-7b-hf	280	le	LATIN
meta-llama/Llama-2-7b-hf	281	w	LATIN
meta-llama/Llama-2-7b-hf	282	p	LATIN
meta-llama/Llama-2-7b-hf	283	ou	LATIN
meta-llama/Llama-2-7b-hf	284	al	LATIN
meta-llama/Llama-2-7b-hf	285	f	LATIN
meta-llama/Llama-2-7b-hf	286	m	LATIN
meta-llama/Llama-2-7b-hf	287	ed	LATIN
meta-llama/Llama-2-7b-hf	288	o	LATIN
meta-llama/Llama-2-7b-hf	289	b	LATIN
meta-llama/Llama-2-7b-hf	290	om	LATIN
meta-llama/Llama-2-7b-hf	291	ion	LATIN
meta-llama/Llama-2-7b-hf	292	ing	LATIN
meta-llama/Llama-2-7b-hf	293	ic	LATIN
meta-llama/Llama-2-7b-hf	294	as	LATIN
meta-llama/Llama-2-7b-hf	295	el	LATIN
meta-llama/Llama-2-7b-hf	296	ent	LATIN
meta-llama/Llama-2-7b-hf	297	in	LATIN
meta-llama/Llama-2-7b-hf	298	h	LATIN
meta-llama/Llama-2-7b-hf	299	nd	LATIN
meta-llama/Llama-2-7b-hf	300	et	LATIN
meta-llama/Llama-2-7b-hf	301	l	LATIN
meta-llama/Llama-2-7b-hf	302	n	LATIN
meta-llama/Llama-2-7b-hf	303	st	LATIN
meta-llama/Llama-2-7b-hf	304	to	LATIN
meta-llama/Llama-2-7b-hf	305	ch	LATIN
meta-llama/Llama-2-7b-hf	306	I	LATIN
meta-llama/Llama-2-7b-hf	307	ro	LATIN
meta-llama/Llama-2-7b-hf	308	▁▁▁▁▁▁▁	Z
meta-llama/Llama-2-7b-hf	309	il	LATIN
meta-llama/Llama-2-7b-hf	310	of	LATIN
meta-llama/Llama-2-7b-hf	311	de	LATIN
meta-llama/Llama-2-7b-hf	312	ct	LATIN
meta-llama/Llama-2-7b-hf	313	(	P
meta-llama/Llama-2-7b-hf	314	am	LATIN
meta-llama/Llama-2-7b-hf	315	C	LATIN
meta-llama/Llama-2-7b-hf	316	de	LATIN
meta-llama/Llama-2-7b-hf	317	S	LATIN
meta-llama/Llama-2-7b-hf	318	u	LATIN
meta-llama/Llama-2-7b-hf	319	A	LATIN
meta-llama/Llama-2-7b-hf	320	\	P
meta-llama/Llama-2-7b-hf	321	e	LATIN
meta-llama/Llama-2-7b-hf	322	and	LATIN
meta-llama/Llama-2-7b-hf	323	T	LATIN
meta-llama/Llama-2-7b-hf	324	ol	LATIN
meta-llama/Llama-2-7b-hf	325	v	LATIN
meta-llama/Llama-2-7b-hf	326	im	LATIN
meta-llama/Llama-2-7b-hf	327	ot	LATIN
meta-llama/Llama-2-7b-hf	328	ad	LATIN
meta-llama/Llama-2-7b-hf	329	ut	LATIN
meta-llama/Llama-2-7b-hf	330	g	LATIN
meta-llama/Llama-2-7b-hf	331	em	LATIN
meta-llama/Llama-2-7b-hf	332	ur	LATIN
meta-llama/Llama-2-7b-hf	333	id	LATIN
meta-llama/Llama-2-7b-hf	334	*	P
meta-llama/Llama-2-7b-hf	335	ig	LATIN
meta-llama/Llama-2-7b-hf	336	ra	LATIN
meta-llama/Llama-2-7b-hf	337	re	LATIN
meta-llama/Llama-2-7b-hf	338	is	LATIN
meta-llama/Llama-2-7b-hf	339	qu	LATIN
meta-llama/Llama-2-7b-hf	340	ow	LATIN
meta-llama/Llama-2-7b-hf	341	M	LATIN
meta-llama/Llama-2-7b-hf	342	est	LATIN
meta-llama/Llama-2-7b-hf	343	y	LATIN
meta-llama/Llama-2-7b-hf	344	se	LATIN
meta-llama/Llama-2-7b-hf	345	ve	LATIN
meta-llama/Llama-2-7b-hf	346	ce	LATIN
meta-llama/Llama-2-7b-hf	347	ie	LATIN
meta-llama/Llama-2-7b-hf	348	un	LATIN
meta-llama/Llama-2-7b-hf	349	P	LATIN
meta-llama/Llama-2-7b-hf	350	B	LATIN
meta-llama/Llama-2-7b-hf	351	ag	LATIN
meta-llama/Llama-2-7b-hf	352	ul	LATIN
meta-llama/Llama-2-7b-hf	353	=	S
meta-llama/Llama-2-7b-hf	354	he	LATIN
meta-llama/Llama-2-7b-hf	355	end	LATIN
meta-llama/Llama-2-7b-hf	356	ode	LATIN
meta-llama/Llama-2-7b-hf	357	ter	LATIN
meta-llama/Llama-2-7b-hf	358	ment	LATIN
meta-llama/Llama-2-7b-hf	359	os	LATIN
meta-llama/Llama-2-7b-hf	360	D	LATIN
meta-llama/Llama-2-7b-hf	361	if	LATIN
meta-llama/Llama-2-7b-hf	362	ation	LATIN
meta-llama/Llama-2-7b-hf	363	for	LATIN
meta-llama/Llama-2-7b-hf	364	r	LATIN
meta-llama/Llama-2-7b-hf	365	L	LATIN
meta-llama/Llama-2-7b-hf	366	you	LATIN
meta-llama/Llama-2-7b-hf	367	be	LATIN
meta-llama/Llama-2-7b-hf	368	ly	LATIN
meta-llama/Llama-2-7b-hf	369	ver	LATIN
meta-llama/Llama-2-7b-hf	370	ab	LATIN
meta-llama/Llama-2-7b-hf	371	te	LATIN
meta-llama/Llama-2-7b-hf	372	it	LATIN
meta-llama/Llama-2-7b-hf	373	on	LATIN
meta-llama/Llama-2-7b-hf	374	ri	LATIN
meta-llama/Llama-2-7b-hf	375	us	LATIN
meta-llama/Llama-2-7b-hf	376	"	P
meta-llama/Llama-2-7b-hf	377	wh	LATIN
meta-llama/Llama-2-7b-hf	378	con	LATIN
meta-llama/Llama-2-7b-hf	379	H	LATIN
meta-llama/Llama-2-7b-hf	380	st	LATIN
meta-llama/Llama-2-7b-hf	381	ir	LATIN
meta-llama/Llama-2-7b-hf	382	E	LATIN
meta-llama/Llama-2-7b-hf	383	F	LATIN
meta-llama/Llama-2-7b-hf	384	ck	LATIN
meta-llama/Llama-2-7b-hf	385	an	LATIN
meta-llama/Llama-2-7b-hf	386	th	LATIN
meta-llama/Llama-2-7b-hf	387	eg	LATIN
meta-llama/Llama-2-7b-hf	388	ay	LATIN
meta-llama/Llama-2-7b-hf	389	ith	LATIN
meta-llama/Llama-2-7b-hf	390	R	LATIN
meta-llama/Llama-2-7b-hf	391	ist	LATIN
meta-llama/Llama-2-7b-hf	392	and	LATIN
meta-llama/Llama-2-7b-hf	393	that	LATIN
meta-llama/Llama-2-7b-hf	394	al	LATIN
meta-llama/Llama-2-7b-hf	395	$	S
meta-llama/Llama-2-7b-hf	396	#	P
meta-llama/Llama-2-7b-hf	397	od	LATIN
meta-llama/Llama-2-7b-hf	398	um	LATIN
meta-llama/Llama-2-7b-hf	399	W	LATIN
meta-llama/Llama-2-7b-hf	400	ht	LATIN
meta-llama/Llama-2-7b-hf	401	code	LATIN
meta-llama/Llama-2-7b-hf	402	G	LATIN
meta-llama/Llama-2-7b-hf	403	ate	LATIN
meta-llama/Llama-2-7b-hf	404	ess	LATIN
meta-llama/Llama-2-7b-hf	405	N	LATIN
meta-llama/Llama-2-7b-hf	406	ere	LATIN
meta-llama/Llama-2-7b-hf	407	pp	LATIN
meta-llama/Llama-2-7b-hf	408	as	LATIN
meta-llama/Llama-2-7b-hf	409	se	LATIN
meta-llama/Llama-2-7b-hf	410	pro	LATIN
meta-llama/Llama-2-7b-hf	411	with	LATIN
meta-llama/Llama-2-7b-hf	412	pe	LATIN
meta-llama/Llama-2-7b-hf	413	k	LATIN
meta-llama/Llama-2-7b-hf	414	ers	LATIN
meta-llama/Llama-2-7b-hf	415	pt	LATIN
meta-llama/Llama-2-7b-hf	416	);	P
meta-llama/Llama-2-7b-hf	417	lo	LATIN
meta-llama/Llama-2-7b-hf	418	▁▁▁▁	Z
meta-llama/Llama-2-7b-hf	419	com	LATIN
meta-llama/Llama-2-7b-hf	420	ame	LATIN
meta-llama/Llama-2-7b-hf	421	`	S
meta-llama/Llama-2-7b-hf	422	Com	LATIN
meta-llama/Llama-2-7b-hf	423	ia	LATIN
meta-llama/Llama-2-7b-hf	424	ant	LATIN
meta-llama/Llama-2-7b-hf	425	la	LATIN
meta-llama/Llama-2-7b-hf	426	{	P
meta-llama/Llama-2-7b-hf	427	en	LATIN
meta-llama/Llama-2-7b-hf	428	ction	LATIN
meta-llama/Llama-2-7b-hf	429	ex	LATIN
meta-llama/Llama-2-7b-hf	430	ld	LATIN
meta-llama/Llama-2-7b-hf	431	ub	LATIN
meta-llama/Llama-2-7b-hf	432	j	LATIN
meta-llama/Llama-2-7b-hf	433	la	LATIN
meta-llama/Llama-2-7b-hf	434	ue	LATIN
meta-llama/Llama-2-7b-hf	435	J	LATIN
meta-llama/Llama-2-7b-hf	436	ich	LATIN
meta-llama/Llama-2-7b-hf	437	do	LATIN
meta-llama/Llama-2-7b-hf	438	O	LATIN
meta-llama/Llama-2-7b-hf	439	qu	LATIN
meta-llama/Llama-2-7b-hf	440	iv	LATIN
meta-llama/Llama-2-7b-hf	441	ort	LATIN
meta-llama/Llama-2-7b-hf	442	art	LATIN
meta-llama/Llama-2-7b-hf	443	un	LATIN
meta-llama/Llama-2-7b-hf	444	##	P
meta-llama/Llama-2-7b-hf	445	this	LATIN
meta-llama/Llama-2-7b-hf	446	ke	LATIN
meta-llama/Llama-2-7b-hf	447	ha	LATIN
meta-llama/Llama-2-7b-hf	448	-	P
meta-llama/Llama-2-7b-hf	449	out	LATIN
meta-llama/Llama-2-7b-hf	450	The	LATIN
meta-llama/Llama-2-7b-hf	451	not	LATIN
meta-llama/Llama-2-7b-hf	452	ne	LATIN
meta-llama/Llama-2-7b-hf	453	ill	LATIN
meta-llama/Llama-2-7b-hf	454	le	LATIN
meta-llama/Llama-2-7b-hf	455	ci	LATIN
meta-llama/Llama-2-7b-hf	456	rom	LATIN
meta-llama/Llama-2-7b-hf	457	ine	LATIN
meta-llama/Llama-2-7b-hf	458	//	P
meta-llama/Llama-2-7b-hf	459	op	LATIN
meta-llama/Llama-2-7b-hf	460	egin	LATIN
meta-llama/Llama-2-7b-hf	461	Comment	LATIN
meta-llama/Llama-2-7b-hf	462	▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁	Z
meta-llama/Llama-2-7b-hf	463	begin	LATIN
meta-llama/Llama-2-7b-hf	464	ст	CYRILLIC
meta-llama/Llama-2-7b-hf	465	ass	LATIN
meta-llama/Llama-2-7b-hf	466	iz	LATIN
meta-llama/Llama-2-7b-hf	467	).	P
meta-llama/Llama-2-7b-hf	468	og	LATIN
meta-llama/Llama-2-7b-hf	469	п	CYRILLIC
meta-llama/Llama-2-7b-hf	470	or	LATIN
meta-llama/Llama-2-7b-hf	471	was	LATIN
meta-llama/Llama-2-7b-hf	472	at	LATIN
meta-llama/Llama-2-7b-hf	473	our	LATIN
meta-llama/Llama-2-7b-hf	474	i	LATIN
meta-llama/Llama-2-7b-hf	475	ain	LATIN
meta-llama/Llama-2-7b-hf	476	K	LATIN
meta-llama/Llama-2-7b-hf	477	на	CYRILLIC
meta-llama/Llama-2-7b-hf	478	V	LATIN
meta-llama/Llama-2-7b-hf	479	ge	LATIN
meta-llama/Llama-2-7b-hf	480	su	LATIN
meta-llama/Llama-2-7b-hf	481	ap	LATIN
meta-llama/Llama-2-7b-hf	482	age	LATIN
meta-llama/Llama-2-7b-hf	483	ould	LATIN
meta-llama/Llama-2-7b-hf	484	ne	LATIN
meta-llama/Llama-2-7b-hf	485	av	LATIN
meta-llama/Llama-2-7b-hf	486	xt	LATIN
meta-llama/Llama-2-7b-hf	487	ore	LATIN
meta-llama/Llama-2-7b-hf	488	ile	LATIN
meta-llama/Llama-2-7b-hf	489	--	P
meta-llama/Llama-2-7b-hf	490	в	CYRILLIC
meta-llama/Llama-2-7b-hf	491	by	LATIN
meta-llama/Llama-2-7b-hf	492	li	LATIN
meta-llama/Llama-2-7b-hf	493	ath	LATIN
meta-llama/Llama-2-7b-hf	494	ра	CYRILLIC
meta-llama/Llama-2-7b-hf	495	ber	LATIN
meta-llama/Llama-2-7b-hf	496	ach	LATIN
meta-llama/Llama-2-7b-hf	497	all	LATIN
meta-llama/Llama-2-7b-hf	498	Th	LATIN
meta-llama/Llama-2-7b-hf	499	ult	LATIN
meta-llama/Llama-2-7b-hf	500	}	P
meta-llama/Llama-2-7b-hf	501	U	LATIN
meta-llama/Llama-2-7b-hf	502	us	LATIN
meta-llama/Llama-2-7b-hf	503	z	LATIN
meta-llama/Llama-2-7b-hf	504	ust	LATIN
meta-llama/Llama-2-7b-hf	505	have	LATIN
meta-llama/Llama-2-7b-hf	506	lic	LATIN
meta-llama/Llama-2-7b-hf	507	ни	CYRILLIC
meta-llama/Llama-2-7b-hf	508	can	LATIN
meta-llama/Llama-2-7b-hf	509	tr	LATIN
meta-llama/Llama-2-7b-hf	510	com	LATIN
meta-llama/Llama-2-7b-hf	511	),	P
meta-llama/Llama-2-7b-hf	512	In	LATIN
meta-llama/Llama-2-7b-hf	513	ind	LATIN
meta-llama/Llama-2-7b-hf	514	ell	LATIN
meta-llama/Llama-2-7b-hf	515	from	LATIN
meta-llama/Llama-2-7b-hf	516	ов	CYRILLIC
meta-llama/Llama-2-7b-hf	517	to	LATIN
meta-llama/Llama-2-7b-hf	518	[	P
meta-llama/Llama-2-7b-hf	519	able	LATIN
meta-llama/Llama-2-7b-hf	520	ost	LATIN
meta-llama/Llama-2-7b-hf	521	ch	LATIN
meta-llama/Llama-2-7b-hf	522	ect	LATIN
meta-llama/Llama-2-7b-hf	523	ight	LATIN
meta-llama/Llama-2-7b-hf	524	int	LATIN
meta-llama/Llama-2-7b-hf	525	'	P
meta-llama/Llama-2-7b-hf	526	are	LATIN
meta-llama/Llama-2-7b-hf	527	im	LATIN
meta-llama/Llama-2-7b-hf	528	sh	LATIN
meta-llama/Llama-2-7b-hf	529	<	S
meta-llama/Llama-2-7b-hf	530	An	LATIN
meta-llama/Llama-2-7b-hf	531	с	CYRILLIC
meta-llama/Llama-2-7b-hf	532	ata	LATIN
meta-llama/Llama-2-7b-hf	533	ire	LATIN
meta-llama/Llama-2-7b-hf	534	tr	LATIN
meta-llama/Llama-2-7b-hf	535	con	LATIN
meta-llama/Llama-2-7b-hf	536	ord	LATIN
